2020-04-27 18:04:729 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 18:04:594 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (a3fea374cf7fdb16febd1c2d953199dc)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 18:04:880 INFO  FlightPage :39 - Flying from London flying field [[ChromeDriver: chrome on WINDOWS (a3fea374cf7fdb16febd1c2d953199dc)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 18:04:595 INFO  FlightPage :45 - Going to Ahmedabadgoing field [[ChromeDriver: chrome on WINDOWS (a3fea374cf7fdb16febd1c2d953199dc)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 18:04:253 INFO  FlightPage :51 - Departing Date 20/12/2020Date field[[ChromeDriver: chrome on WINDOWS (a3fea374cf7fdb16febd1c2d953199dc)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 18:04:03 INFO  FlightPage :59 - Returning Date10/02/2021Return date field[[ChromeDriver: chrome on WINDOWS (a3fea374cf7fdb16febd1c2d953199dc)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 18:04:945 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 18:04:687 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (9d30fd9d9270795d7a0834a4863d3da4)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 18:04:457 INFO  FlightPage :39 - Flying from Birmingham flying field [[ChromeDriver: chrome on WINDOWS (9d30fd9d9270795d7a0834a4863d3da4)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 18:04:905 INFO  FlightPage :45 - Going to Mumbaigoing field [[ChromeDriver: chrome on WINDOWS (9d30fd9d9270795d7a0834a4863d3da4)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 18:04:451 INFO  FlightPage :51 - Departing Date 10/12/2020Date field[[ChromeDriver: chrome on WINDOWS (9d30fd9d9270795d7a0834a4863d3da4)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 18:04:84 INFO  FlightPage :59 - Returning Date10/01/2021Return date field[[ChromeDriver: chrome on WINDOWS (9d30fd9d9270795d7a0834a4863d3da4)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 18:04:206 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 18:04:399 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (19ef16a4a59211bfa8c630d57acd4021)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 18:04:417 INFO  FlightPage :39 - Flying from Ahmedabad flying field [[ChromeDriver: chrome on WINDOWS (19ef16a4a59211bfa8c630d57acd4021)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 18:04:941 INFO  FlightPage :45 - Going to Mumbaigoing field [[ChromeDriver: chrome on WINDOWS (19ef16a4a59211bfa8c630d57acd4021)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 18:04:718 INFO  FlightPage :51 - Departing Date 18/12/2020Date field[[ChromeDriver: chrome on WINDOWS (19ef16a4a59211bfa8c630d57acd4021)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 18:04:352 INFO  FlightPage :59 - Returning Date10/01/2021Return date field[[ChromeDriver: chrome on WINDOWS (19ef16a4a59211bfa8c630d57acd4021)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 18:04:754 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 18:04:212 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (70c33a2f2132b23ba277d75447f525e0)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 18:04:378 INFO  FlightPage :39 - Flying from London flying field [[ChromeDriver: chrome on WINDOWS (70c33a2f2132b23ba277d75447f525e0)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 18:04:171 INFO  FlightPage :45 - Going to Ahmedabadgoing field [[ChromeDriver: chrome on WINDOWS (70c33a2f2132b23ba277d75447f525e0)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 18:04:30 INFO  FlightPage :51 - Departing Date 20/12/2020Date field[[ChromeDriver: chrome on WINDOWS (70c33a2f2132b23ba277d75447f525e0)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 18:04:792 INFO  FlightPage :59 - Returning Date10/02/2021Return date field[[ChromeDriver: chrome on WINDOWS (70c33a2f2132b23ba277d75447f525e0)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 18:04:36 INFO  FlightPage :65 - Clicking on Travellers button[[ChromeDriver: chrome on WINDOWS (70c33a2f2132b23ba277d75447f525e0)] -> xpath: //div[@class='menu-bar gcw-travel-selector-wrapper']//button[@class='trigger-utility menu-trigger btn-utility btn-secondary dropdown-toggle theme-standard pin-left menu-arrow gcw-component gcw-traveler-amount-select gcw-component-initialized']]
2020-04-27 18:04:360 INFO  FlightPage :71 - Clicking on adult [[ChromeDriver: chrome on WINDOWS (70c33a2f2132b23ba277d75447f525e0)] -> xpath: //body[contains(@class,'')]/meso-native-marquee/section[@id='WizardHero']/div[@id='hero-banner']/div[contains(@class,'hero-banner-gradient native-marquee')]/div[contains(@class,'cols-row hero-banner-inner')]/section[@id='wizardSection']/div[contains(@class,'hero-banner-box siteId-3 cf hideClassicDcol')]/div[@id='wizard-tabs']/div[contains(@class,'tabs-container col')]/section[@id='section-flight-tab-hp']/form[@id='gcw-flights-form-hp-flight']/fieldset[contains(@class,'room-data')]/div[contains(@class,'cols-nested')]/div[contains(@class,'ab25184-traveler-wrapper-flight available-for-flights gcw-clear-both')]/div[@id='traveler-selector-hp-flight']/div[contains(@class,'menu-bar gcw-travel-selector-wrapper')]/ul[contains(@class,'menu-bar-inner')]/li[contains(@class,'open')]/div[contains(@class,'menu sticky gcw-menu')]/div[contains(@class,'menu-main')]/div[contains(@class,'traveler-selector-sinlge-room-data traveler-selector-room-data')]/div[contains(@class,'uitk-grid step-input-outside gcw-component gcw-component-step-input gcw-step-input gcw-component-initialized')]/div[contains(@class,'uitk-col all-col-shrink')]/button[contains(@class,'uitk-step-input-button uitk-step-input-plus')]/span[1]//*[local-name()='svg']]
2020-04-27 18:04:791 INFO  FlightPage :83 - Clicking on search button Proxy element for: DefaultElementLocator 'By.xpath: //form[@id='gcw-flights-form-hp-flight']//button[contains(@class,'btn-primary btn-action gcw-submit')]'
2020-04-27 18:04:197 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 18:04:114 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 18:04:877 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (50304cbe969ba1bffde4db9ce5a72397)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 18:04:337 INFO  FlightPage :39 - Flying from London flying field [[ChromeDriver: chrome on WINDOWS (50304cbe969ba1bffde4db9ce5a72397)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 18:04:920 INFO  FlightPage :45 - Going to Ahmedabadgoing field [[ChromeDriver: chrome on WINDOWS (50304cbe969ba1bffde4db9ce5a72397)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 18:04:571 INFO  FlightPage :51 - Departing Date 20/12/2020Date field[[ChromeDriver: chrome on WINDOWS (50304cbe969ba1bffde4db9ce5a72397)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 18:04:254 INFO  FlightPage :59 - Returning Date10/02/2021Return date field[[ChromeDriver: chrome on WINDOWS (50304cbe969ba1bffde4db9ce5a72397)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 18:04:54 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 18:04:493 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (755ca4f8d6bc0eef1e57fbc5a22edd6e)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 18:04:195 INFO  FlightPage :39 - Flying from Birmingham flying field [[ChromeDriver: chrome on WINDOWS (755ca4f8d6bc0eef1e57fbc5a22edd6e)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 18:04:733 INFO  FlightPage :45 - Going to Mumbaigoing field [[ChromeDriver: chrome on WINDOWS (755ca4f8d6bc0eef1e57fbc5a22edd6e)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 18:04:312 INFO  FlightPage :51 - Departing Date 10/12/2020Date field[[ChromeDriver: chrome on WINDOWS (755ca4f8d6bc0eef1e57fbc5a22edd6e)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 18:04:842 INFO  FlightPage :59 - Returning Date10/01/2021Return date field[[ChromeDriver: chrome on WINDOWS (755ca4f8d6bc0eef1e57fbc5a22edd6e)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 18:04:835 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 19:04:204 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 19:04:236 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (34c84bfca1714797e4f5c4f5779c1033)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 19:04:00 INFO  FlightPage :39 - Flying from London flying field [[ChromeDriver: chrome on WINDOWS (34c84bfca1714797e4f5c4f5779c1033)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 19:04:226 INFO  FlightPage :45 - Going to Ahmedabadgoing field [[ChromeDriver: chrome on WINDOWS (34c84bfca1714797e4f5c4f5779c1033)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 19:04:736 INFO  FlightPage :51 - Departing Date 20/12/2020Date field[[ChromeDriver: chrome on WINDOWS (34c84bfca1714797e4f5c4f5779c1033)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 19:04:678 INFO  FlightPage :59 - Returning Date10/02/2021Return date field[[ChromeDriver: chrome on WINDOWS (34c84bfca1714797e4f5c4f5779c1033)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 19:04:900 INFO  FlightPage :65 - Clicking on Travellers button[[ChromeDriver: chrome on WINDOWS (34c84bfca1714797e4f5c4f5779c1033)] -> xpath: //div[@class='menu-bar gcw-travel-selector-wrapper']//button[@class='trigger-utility menu-trigger btn-utility btn-secondary dropdown-toggle theme-standard pin-left menu-arrow gcw-component gcw-traveler-amount-select gcw-component-initialized']]
2020-04-27 19:04:495 INFO  FlightPage :71 - Clicking on adult [[ChromeDriver: chrome on WINDOWS (34c84bfca1714797e4f5c4f5779c1033)] -> xpath: //body[contains(@class,'')]/meso-native-marquee/section[@id='WizardHero']/div[@id='hero-banner']/div[contains(@class,'hero-banner-gradient native-marquee')]/div[contains(@class,'cols-row hero-banner-inner')]/section[@id='wizardSection']/div[contains(@class,'hero-banner-box siteId-3 cf hideClassicDcol')]/div[@id='wizard-tabs']/div[contains(@class,'tabs-container col')]/section[@id='section-flight-tab-hp']/form[@id='gcw-flights-form-hp-flight']/fieldset[contains(@class,'room-data')]/div[contains(@class,'cols-nested')]/div[contains(@class,'ab25184-traveler-wrapper-flight available-for-flights gcw-clear-both')]/div[@id='traveler-selector-hp-flight']/div[contains(@class,'menu-bar gcw-travel-selector-wrapper')]/ul[contains(@class,'menu-bar-inner')]/li[contains(@class,'open')]/div[contains(@class,'menu sticky gcw-menu')]/div[contains(@class,'menu-main')]/div[contains(@class,'traveler-selector-sinlge-room-data traveler-selector-room-data')]/div[contains(@class,'uitk-grid step-input-outside gcw-component gcw-component-step-input gcw-step-input gcw-component-initialized')]/div[contains(@class,'uitk-col all-col-shrink')]/button[contains(@class,'uitk-step-input-button uitk-step-input-plus')]/span[1]//*[local-name()='svg']]
2020-04-27 19:04:825 INFO  FlightPage :83 - Clicking on search button Proxy element for: DefaultElementLocator 'By.xpath: //form[@id='gcw-flights-form-hp-flight']//button[contains(@class,'btn-primary btn-action gcw-submit')]'
2020-04-27 20:04:270 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 20:04:52 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (1acf95719c77b66e150a24c799dc2e94)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-27 20:04:782 INFO  FlightPage :39 - Flying from Birmingham flying field [[ChromeDriver: chrome on WINDOWS (1acf95719c77b66e150a24c799dc2e94)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-27 20:04:167 INFO  FlightPage :45 - Going to Mumbaigoing field [[ChromeDriver: chrome on WINDOWS (1acf95719c77b66e150a24c799dc2e94)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-27 20:04:216 INFO  FlightPage :51 - Departing Date 10/12/2020Date field[[ChromeDriver: chrome on WINDOWS (1acf95719c77b66e150a24c799dc2e94)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-27 20:04:804 INFO  FlightPage :59 - Returning Date10/01/2021Return date field[[ChromeDriver: chrome on WINDOWS (1acf95719c77b66e150a24c799dc2e94)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-27 20:04:78 INFO  FlightPage :65 - Clicking on Travellers button[[ChromeDriver: chrome on WINDOWS (1acf95719c77b66e150a24c799dc2e94)] -> xpath: //div[@class='menu-bar gcw-travel-selector-wrapper']//button[@class='trigger-utility menu-trigger btn-utility btn-secondary dropdown-toggle theme-standard pin-left menu-arrow gcw-component gcw-traveler-amount-select gcw-component-initialized']]
2020-04-27 20:04:779 INFO  FlightPage :71 - Clicking on adult [[ChromeDriver: chrome on WINDOWS (1acf95719c77b66e150a24c799dc2e94)] -> xpath: //body[contains(@class,'')]/meso-native-marquee/section[@id='WizardHero']/div[@id='hero-banner']/div[contains(@class,'hero-banner-gradient native-marquee')]/div[contains(@class,'cols-row hero-banner-inner')]/section[@id='wizardSection']/div[contains(@class,'hero-banner-box siteId-3 cf hideClassicDcol')]/div[@id='wizard-tabs']/div[contains(@class,'tabs-container col')]/section[@id='section-flight-tab-hp']/form[@id='gcw-flights-form-hp-flight']/fieldset[contains(@class,'room-data')]/div[contains(@class,'cols-nested')]/div[contains(@class,'ab25184-traveler-wrapper-flight available-for-flights gcw-clear-both')]/div[@id='traveler-selector-hp-flight']/div[contains(@class,'menu-bar gcw-travel-selector-wrapper')]/ul[contains(@class,'menu-bar-inner')]/li[contains(@class,'open')]/div[contains(@class,'menu sticky gcw-menu')]/div[contains(@class,'menu-main')]/div[contains(@class,'traveler-selector-sinlge-room-data traveler-selector-room-data')]/div[contains(@class,'uitk-grid step-input-outside gcw-component gcw-component-step-input gcw-step-input gcw-component-initialized')]/div[contains(@class,'uitk-col all-col-shrink')]/button[contains(@class,'uitk-step-input-button uitk-step-input-plus')]/span[1]//*[local-name()='svg']]
2020-04-27 20:04:64 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-27 20:04:470 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (fb72b6ae9a2ecfbb875d1d4f7165afa8)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
